#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF ,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
14,C/Beige,100,Finished,1,4,,3,51073 Purple Mat,"1,825",$180,Available,,Natalia,"$328,950.00","$10,000",Yes,"$2,314","$2,382",95.94,150.77,📁
17,B/Beige,100,Finished,1,4,,3,51093 Sand Verbena,"1,860",$179,Available,,Clarissa,"$332,950.00","$10,000",Yes,"$2,342","$2,411",97.11,152.60,📁
1,,100,Finished,1,4,,3,51074 Desert Calico,"1,833",$179,Pending,,Natalia,"$328,950.00","$10,000",Yes,"$2,314","$2,382",95.94,150.77,📁
2,,65,Trim & Doors,1,4,,3,51010 Desert Calico,"1,879",$177,Pending,Move In Ready,Hailey,"$332,950.00","$5,000",Yes,"$2,342","$2,411",97.11,152.60,📁
3,,65,Trim & Doors,1,4,,3,51014 Desert Calico,"1,852",$180,Pending,,Juliana,"$332,950.00","$5,000",Yes,"$2,342","$2,411",97.11,152.60,📁
4,,70,Cabinets / Countertops,1,4,,,51018 Desert Calico,"1,833",$182,Pending,,Natalia,"$333,950.00","$8,000",Yes,"$2,349","$2,419",97.40,153.06,📁
5,,80,Finals,1,4,,3,51086 Desert Calico,"1,833",$181,Pending,,Ariana,"$331,950.00","$10,000",Yes,"$2,335","$2,404",96.82,152.14,📁
6,,70,Cabinets / Countertops,1,4,,3,51013 Desert Calico,"1,863",$179,Pending,,Madeline,"$332,950.00","$8,000",Yes,"$2,342","$2,411",97.11,152.60,📁
7,,100,Finished,1,4,,3,51049 Desert Calico,"1,860",$179,Pending,,Clarissa,"$332,950.00","$10,000",Yes,"$2,342","$2,411",97.11,152.60,📁
8,,100,Finished,1,4,,3,51053 Desert Calico,"1,863",$179,Pending,,Madeline,"$332,950.00","$10,000",Yes,"$2,342","$2,411",97.11,152.60,📁
9,,100,Finished,1,4,,3,51057 Desert Calico,"1,833",$179,Pending,,Natalia,"$328,950.00","$10,000",Yes,"$2,314","$2,382",95.94,150.77,📁
10,,100,Finished,1,4,,3,51061 Desert Calico,"1,852",$180,Pending,,Juliana,"$332,950.00","$10,000",Yes,"$2,342","$2,411",97.11,152.60,📁
11,C/Beige,100,Finished,1,4,,3,51034 Purple Mat,"1,852",$180,Pending,,Juliana,"$332,950.00","$10,000",Yes,"$2,342","$2,411",97.11,152.60,📁
12,,100,Finished,1,4,,3,51042 Purple Mat,"1,833",$179,Pending,,Ariana,"$328,950.00","$10,000",Yes,"$2,314","$2,382",95.94,150.77,📁
13,C/Beige,100,Finished,1,4,,3,51057 Purple Mat,"1,860",$179,Pending,,Clarissa,"$332,950.00","$10,000",Yes,"$2,342","$2,411",97.11,152.60,📁
15,,50,Texture,1,4,,3,51013 Purple Mat,"1,852",$180,Pending,,Juliana,"$332,950.00",,Yes,"$2,342","$2,411",97.11,152.60,📁
19,,100,Finished,1,4,,3,51082 Desert Calico,"1,879",$180,Pending,,Hailey,"$337,950.00","$10,000",,"$2,378","$2,448",98.57,154.89,📁
16,,55,Paint,1,4,,,51009 Purple Mat,"1,833",$179,Sold,,Ariana,"$328,950.00","$5,000",Yes,"$2,314","$2,382",95.94,150.77,📁
18,,100,Finished,1,4,,,51089 Sand Verena,"1,833",$179,Sold,,Ariana,"$328,950.00","$10,000",Yes,"$2,314","$2,382",95.94,150.77,📁
