#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF ,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
1,C/Beige,100,Finished,1,4,,3,12621 Fredericksberg,"1,856",$191,Available,,Juliana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
3,A/Beige,100,Finished,1,4,,3,12629 Fredericksberg,"1,866",$190,Available,,Madeline,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
5,D/Gray,100,Finished,1,4,,3,12656 Fredericksberg,"1,856",$191,Available,,Juliana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
6,A/Beige,100,Finished,1,4,,3,12652 Fredericksberg,"1,879",$191,Available,,Hailey,"$357,950.00","$10,000",No,"$2,458.00","$2,532.00",104.40,164.06,📁
7,B/Gray,100,Finished,1,4,,3,12648 Fredericksberg,"1,825",$194,Available,,Ariana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
10,A/Beige,100,Finished,1,4,,3,12636 Fredericksberg,"1,825",$190,Available,,Natalia,"$346,950.00","$10,000",No,"$2,382.00","$2,454.00",101.19,159.02,📁
11,B/Gray,100,Finished,1,4,,3,12632 Fredericksberg,"1,856",$191,Available,,Juliana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
12,D/Gray,100,Finished,1,4,,3,12624 Fredericksberg,"1,825",$194,Available,,Ariana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
16,A/Beige,100,Finished,1,4,,3,12733 Fredericksberg,"1,858",$191,Available,,Clarissa,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
19,C/Beige,100,Finished,1,3,,3,12633 Middlesbrough,"1,988",$190,Available,,Savannah,"$377,950.00","$10,000",No,"$2,595.00","$2,674.00",110.24,173.23,📁
20,A/Beige,100,Finished,1,4,,3,12641 Middlesbrough,"1,856",$191,Available,,Juliana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
21,B/Gray,100,Finished,1,3,1 Study,3,12645 Middlesbrough,"1,966",$193,Available,,Serenity,"$379,950.00","$10,000",No,"$2,609.00","$2,688.00",110.82,174.14,📁
22,C/Beige,100,Finished,1,4,,3,12649 Middlesbrough,"1,866",$190,Available,,Madeline,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
25,,100,Finished,1,4,,3,12824 Middlesbrough,"1,825",$194,Available,,Ariana,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
37,,30,Footings,1,4,,3,12637 Fredericksberg,"1,833",$194,Available,,Ariana,"$354,950.00",,No,"$2,437.00","$2,511.00",103.53,162.69,📁
38,,30,Footings,1,4,,3,12641 Fredericksberg,"1,879",$194,Available,,Hailey,"$357,950.00",,No,"$2,458.00","$2,532.00",104.40,164.06,📁
39,,25,Plumbing Rough,1,4,,3,12645 Fredericksberg,"1,852",$194,Available,,Juliana,"$354,950.00",,No,"$2,437.00","$2,511.00",103.53,162.69,📁
40,,25,Plumbing Rough,1,4,,3,12649 Fredericksberg,"1,833",$194,Available,,Natalia,"$346,950.00",,No,"$2,382.00","$2,454.00",101.19,159.02,📁
41,,25,Plumbing Rough,1,4,,3,12653 Fredericksberg,"1,863",$194,Available,,Madeline,"$354,950.00",,No,"$2,437.00","$2,511.00",103.53,162.69,📁
42,,20,Plumbing Rough,1,4,,3,12657 Fredericksberg,"1,860",$194,Available,,Clarissa,"$354,950.00",,No,"$2,437.00","$2,511.00",103.53,162.69,📁
43,,20,Plumbing Rough,1,4,,3,12661 Fredericksberg,"1,879",$194,Available,,Hailey,"$360,950.00",,No,"$2,479.00","$2,553.00",105.28,165.44,📁
44,,100,,1,4,,3,12840 Fredericksberg,"1,863",,Available,,Madeline (PT),"$369,950.00","$10,000",No,,,,,
45,,100,,1,4,,3,12844 Fredericksberg,"1,860",,Available,,Clarissa (PT),"$369,950.00","$10,000",No,,,,,
15,D/Gray,100,Finished,1,4,,3,12729 Fredericksberg,"1,866",$190,Available,,Madeline,"$354,950.00","$10,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
29,,70,Tile,1,4,,3,12804 Fredericksberg,"1,878",$191,Available,,Hailey,"$369,950.00","$5,000",No,"$2,458.00","$2,532.00",104.40,164.06,📁
30,,65,Paint,1,4,,3,12808 Fredericksberg,"1,856",$191,Available,,Juliana,"$369,950.00","$5,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
31,,65,Sheetrock,1,4,,3,12812 Fredericksberg,"1,825",$190,Available,,Natalia,"$369,950.00","$5,000",No,"$2,382.00","$2,454.00",101.19,159.02,📁
33,,55,Framing Final,1,4,,3,12820 Fredericksberg,"1,858",$191,Available,,Clarissa,"$369,950.00","$5,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
34,,55,"HVAC & Plumbing, Electrical",1,4,,3,12824 Fredericksberg,"1,833",$194,Available,,Ariana,"$369,950.00","$5,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
35,,55,"HVAC & Plumbing, Electrical",1,4,,3,12828 Fredericksberg,"1,879",$191,Available,,Hailey,"$369,950.00","$5,000",No,"$2,458.00","$2,532.00",104.40,164.06,📁
36,,55,Finals,1,4,,3,12832 Fredericksberg,"1,856",$191,Available,,Juliana,"$369,950.00","$5,000",No,"$2,437.00","$2,511.00",103.53,162.69,📁
