,,,,,,,,,,,,,,,,,,,
Model Homes - Texas - El Paso,,,,,,,,,,,,,,,,,,,
Plat Map,SD,SUBDIVISION,STAGE,Address,Avg Sq Ft,Avg $/(Sq Ft),Avg Bed,Avg Bath,Stories,Avg. Sales Price,Promotion,Payment Range (Preferred Lender) O.A.C.,Avg. Home Owners Insurance (***),Avg. Mortgage Insurance (***),Status Performance (Available),Status Performance (Offer),Status Performance (Pending),Status Performance (Sold),Estimated Monthly Payment w/ HOMESTEAD
📁,Campos Del Sol,Campo Del Sol U-1B,MODEL HOME,11114 Ground Cherry Dr.,"1,849",$180,4,2,1,"$331,950",30 year at 4.75%,$2328 - $2397,$96.82,$152.14,10.53%,0.00%,78.95%,10.53%,"$2,666.03"
📁,,Desert Sage Estates,,,,,,,,"$259,950",30 year at 4.75%,,,,10.53%,,,,"$2,055.41"
📁,Garden Park,Garden Park U-4,MODEL HOME,12713 Fredericksberg Ave.,"1,856",$192,3,2,1,"$357,450",30 year at 4.75%,$2444 - $2518,$103.38,$162.45,71.74%,0.00%,21.74%,6.52%,"$2,789.66"
📁,Painted Desert,Painted Desert U-4,Furnished Home,13789 Lorenz,"1,523",$178,3,2,1,"$280,337",30 year at 4.75%,$1955 - $2013,$81.76,$128.49,16.13%,0.00%,80.65%,3.23%,"$2,230.77"
📁,Painted Sky,Painted Sky U-3,,,"1,706",$194,3,2,2,"$330,550",30 year at 4.75%,$2238 - $2306,$96.41,$151.50,40.00%,0.00%,60.00%,0.00%,"$2,595.43"
📁,Paseos U9,Paseo Del Este U-9,,,"1,494",$187,3,2,1,"$278,636",30 year at 4.75%,$1959 - $2017,$81.27,$127.71,62.86%,0.00%,34.29%,2.86%,"$2,190.74"
📁,Summer Sky,Summer Sky North U-1 Phase 1,,,"1,562",$182,3,2,1,"$283,775",30 year at 4.75%,No Homes Availables,#DIV/0!,#DIV/0!,80.00%,0.00%,20.00%,0.00%,"$2,230.71"
📁,TDE 89,TDE U-89,,,"1,862",$197,3,2,1,"$365,950",30 year at 4.75%,No Available Data,$101.49,$159.48,66.67%,0.00%,33.33%,0.00%,"$2,721.48"
📁,TDE 90,TDE U-90,MODEL HOME,15248 Gauge Ct.,"1,526",$174,3,2,1,"$264,950",30 year at 4.75%,No Available Data,$77.28,$121.44,0.00%,0.00%,0.00%,100.00%,"$1,924.13"
📁,TDE 91,TDE U-91,,,"1,525",$179,3,2,1,"$260,100",30 year at 4.75%,$1742 - $1800,$79.61,$125.09,51.33%,0.00%,45.13%,3.54%,
📁,Tierra Del Norte,Tierra Del Norte,,,"1,549",$178,3,2,1,"$275,913",30 year at 4.75%,$1933 - $1991,$80.47,$126.46,48.15%,0.00%,51.85%,0.00%,"$2,141.03"
📁,Valle Nuevo,Valle Nuevo U-1,,,"1,695",$180,3,2,1,"$303,700",30 year at 4.75%,No Available Data,$88.58,$139.20,0.00%,0.00%,0.00%,100.00%,"$2,548.34"
📁,Vista Del Norte,Vista Del Norte U-2,,,"1,530",$170,3,2,1,"$260,100",30 year at 4.75%,No Available Data,$75.86,$119.21,0.00%,0.00%,0.00%,100.00%,"$1,999.00"
📁,Horizon,Horizon Town Center U-4,,,"1,530",$170,3,2,1,"$260,100",30 year at 4.75%,$2182 - $2244,$87.34,$137.25,83.33%,0.00%,16.67%,0.00%,
📁,Paseos U8,Paseo Del Este U-8,,,"1,530",$170,3,2,1,"$260,100",30 year at 4.75%,No Available Data,$81.65,$128.31,0.00%,0.00%,100.00%,0.00%,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Model Homes - New Mexico - Las Cruces,,,,,,,,,,,,,,,,,,,
Plat Map,SD,SUBDIVISION,STAGE,Address,Avg Sq Ft,Avg $/(Sq Ft),Avg Bed,Avg Bath,Stories,Avg. Sales Price,Promotion,Payment Range (Preferred Lender) O.A.C.,Avg. Home Owners Insurance (***),Avg. Mortgage Insurance (***),Status Performance (Available),Status Performance (Offer),Status Performance (Pending),Status Performance (Sold),
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Model Homes - Texas - San Antonio ,,,,,,,,,,,,,,,,,,,
Plat Map,SD,SUBDIVISION,STAGE,Address,Avg Sq Ft,Avg $/(Sq Ft),Avg Bed,Avg Bath,Stories,Avg. Sales Price,Promotion,Payment Range (Preferred Lender) O.A.C.,Avg. Home Owners Insurance (***),Avg. Mortgage Insurance (***),Status Performance (Available),Status Performance (Offer),Status Performance (Pending),Status Performance (Sold),
