#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF ,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
2,B/Gray,100,Finished,1,4,,2,13921 Paseo Bosque,"1,438",$195,Available,Move In Ready,Yoli F,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
3,A/Beige,100,Finished,1,4,,2,813 Paseo Pacifico,"1,504",$186,Pending,Move In Ready,Ayde II F,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
6,B/Gray,100,Finished,1,3,,2,833 Paseo Pacifico,"1,490",$188,Available,Move In Ready,Carmella II F,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
7,C/Gray,100,Finished,1,4,,2,837 Paseo Pacifico,"1,438",$195,Available,Move In Ready,Yoli F,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
11,B/Beige,100,Finished,1,4,,2,828 Paseo Pacifico,"1,438",$195,Available,Move In Ready,Yoli F,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
12,C/Gray,100,Finished,1,3,,2,824 Paseo Pacifico,"1,490",$188,Available,Move In Ready,Carmella II F,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
13,D/Gray,100,Finished,1,4,,2,820 Paseo Pacifico,"1,518",$184,Available,Move In Ready,Ayde M,"$279,950.00","$10,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
16,B/Greige,90,Carpet / Paint,1,3,,2,808 Paseo Pacifico,"1,490",$188,Available,Move In Ready,Carmella II F,"$279,950.00","$8,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
19,C/Gray,90,Carpet / Paint,1,4,,2,837 Paseo Tranquilo,"1,438",$195,Available,Move In Ready,Yoli F,"$279,950.00","$8,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
20,E/Beige,90,Carpet / Paint,1,4,,2,829 Paseo Tranquilo,"1,504",$186,Available,Move In Ready,Ayde II F,"$279,950.00","$8,000",Yes,"$1,959","$2,017.00",81.65,128.31,📁
