#,Color Code,Zone,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF ,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
1,B/Greige,Summer Sky U1,100,Finished,1,4,,2,13832 Margaret Ponce,"1,522",$184,Available,,Ayde C,"$279,950.00","$10,000",,Test Low,Test High,,,📁
4,A/Beige,Summer Sky U1,100,Finished,1,4,,2,13820 Margaret Ponce,"1,522",$184,Available,,Ayde C,"$279,950.00","$10,000",,Test Low,Test High,,,📁
5,B/Greige,Summer Sky U1,100,Finished,1,4,,2,13816 Margaret Ponce,"1,495",$187,Available,,Yoli C,"$279,950.00","$10,000",,Test Low,Test High,,,📁
9,A/Beige,Summer Sky U1,100,Finished,1,4,,2,13829 Margaret Ponce,"1,522",$184,Available,,Ayde T,"$279,950.00","$10,000",,Test Low,Test High,,,📁
10,B/Greige,Summer Sky U1,100,Finished,1,4,,2,13825 Margaret Ponce,"1,495",$187,Available,,Yoli T,"$279,950.00","$10,000",,Test Low,Test High,,,📁
12,D/Beige,Summer Sky U1,100,Finished,1,4,,2,13817 Margaret Ponce,"1,522",$184,Available,,Ayde T,"$279,950.00","$10,000",,Test Low,Test High,,,📁
14,C/Gray,Summer Sky U1,100,Finished,1,4,,2,13809 Margaret Ponce,"1,495",$187,Available,,Yoli T,"$279,950.00","$10,000",,Test Low,Test High,,,📁
15,B/Greige,Summer Sky U1,100,Finished,1,3,,2,13805 Margaret Ponce,"1,527",$183,Available,,Carmella T,"$279,950.00","$10,000",,Test Low,Test High,,,📁
17,B/Greige,Summer Sky U2,100,Finished,1,3,,2,13804 Summer Hail,"1,592",$189,Available,,Berlin II,"$300,950.00","$10,000",,Test Low,Test High,,,
19,D/Beige,Summer Sky U2,90,Carpet / Paint,1,4,,2,13800 Summer Wave,"1,721",$179,Available,,Tokyo,"$307,950.00","$8,000",,Test Low,Test High,,,📁
20,B/Greige,Summer Sky U2,90,Carpet / Paint,1,4,,2,13805 Summer Wave,"1,522",$184,Available,,Ayde T,"$279,950.00","$8,000",,Test Low,Test High,,,📁
21,A/Beige,Summer Sky U2,90,Carpet / Paint,1,3,,2,13809 Summer Wave,"1,583",$177,Available,,Karla T,"$279,950.00","$8,000",,Test Low,Test High,,,📁
22,C/Gray,Summer Sky U2,90,Carpet / Paint,1,3,,2,13813 Summer Wave,"1,527",$183,Available,,Carmella T,"$279,950.00","$8,000",,Test Low,Test High,,,📁
23,,Summer Sky U2,65,Trim & Doors,1,3,,2,13817 Summer Wave,"1,658",$183,Available,,Denver,"$302,950.00","$5,000",,Test Low,Test High,,,📁
24,,Summer Sky U2,45,Sheetrock,1,4,,2,13904 Summer Wave,"1,721",$177,Available,,Tokyo,"$304,950.00",,,Test Low,Test High,,,📁
25,,Summer Sky U2,60,Tile,1,4,,2,13901 Thunder Sky,"1,522",$186,Available,,Ayde T,"$282,950.00","$5,000",,Test Low,Test High,,,📁
26,,Summer Sky U2,60,Tile,1,3,,2,13905 Thunder Sky,"1,583",$177,Available,,Karla T,"$279,950.00","$5,000",,Test Low,Test High,,,📁
27,,Summer Sky U1,30,"HVAC & Plumbing, Electrical",1,4,,2,1228 Indigo Sky,"1,522",$184,Available,,Ayde T,"$279,950.00",,No,,,,,📁
29,,Summer Sky U1,25,Framing,1,3,,2,1252 Indigo Sky,"1,527",$183,Available,,CarmellaT,"$279,950.00",,No,,,,,
30,,Summer Sky U1,45,Sheetrock,1,4,,2,13804 Madero,"1,522",$184,Available,,Ayde C,"$279,950.00",,No,,,,,📁
31,,Summer Sky U1,30,"HVAC & Plumbing, Electrical",1,3,,2,13808 Madero,"1,527",$183,Available,,Carmella T,"$279,950.00",,No,,,,,📁
32,,Summer Sky U1,25,Framing,1,3,,2,13812 Madero,"1,532",$183,Available,,Arely T,"$279,950.00",,No,,,,,
33,,Summer Sky U1,25,Framing,1,3,,2,13816 Madero,"1,581",$177,Available,,Karla C,"$279,950.00",,No,,,,,📁
34,,Summer Sky U1,25,Framing,1,3,,2,13837 Margaret Ponce,"1,527",$183,Available,,Carmella T,"$279,950.00",,No,,,,,📁
35,,Summer Sky U1,20,Slab,1,3,,2,13848 Margaret Ponce,"1,527",$183,Available,,Carmella T,"$279,950.00",,No,,,,,📁
36,,Summer Sky U1,20,Slab,1,3,,2,13852 Margaret Ponce,"1,532",$183,Available,,Arely T,"$279,950.00",,No,,,,,
37,,Summer Sky U1,20,Slab,1,3,,2,13856 Margaret Ponce,"1,583",$177,Available,,Karla T,"$279,950.00",,No,,,,,📁
38,,Summer Sky U1,15,Footings,1,4,,2,13860 Margaret Ponce,"1,522",$184,Available,,Ayde T,"$279,950.00",,No,,,,,📁
39,,Summer Sky U1,10,Plumbing Rough,1,3,,2,13864 Margaret Ponce,"1,527",$183,Available,,Carmella T,"$279,950.00",,No,,,,,📁
40,,Summer Sky U1,15,Footings,1,3,,2,13868 Margaret Ponce,"1,532",$183,Available,,Arely T,"$279,950.00",,No,,,,,
41,,Summer Sky U1,15,Footings,1,3,,2,13872 Margaret Ponce,"1,583",$177,Available,,Karla T,"$279,950.00",,No,,,,,📁
6,C/Gray,Summer Sky U1,100,Finished,1,3,,2,13812 Margaret Ponce,"1,527",$183,Available,,Carmella C,"$279,950.00","$10,000",,Test Low,Test High,,,📁
11,C/Gray,,100,Finished,1,3,,2,13821 Margaret Ponce,"1,527",$183,Pending,,Carmella T,"$279,950.00","$10,000",,Test Low,Test High,,,📁
18,C/Gray,,90,Carpet / Paint,1,4,,2,1449 Summer Storm,"1,721",$179,Pending,,Tokyo,"$307,950.00","$8,000",,Test Low,Test High,,,📁
8,C/Gray,,100,Finished,1,4,,2,13804 Margaret Ponce,"1,522",$184,Pending,,Ayde C,"$279,950.00","$10,000",,Test Low,Test High,,,📁
16,A/Beige,,70,Cabinets / Countertops,1,4,,3,1368 Indigo Sky,"1,845",$165,Pending,,Rio II,"$304,950.00","$5,000",,Test Low,Test High,,,📁
3,D/Beige,,100,Finished,1,3,,2,13824 Margaret Ponce,"1,527",$183,Pending,,Carmella C,"$279,950.00","$10,000",,Test Low,Test High,,,📁
2,,,0,City,1,3,,2,13828 Margaret Ponce,"1,581",$177,Pending,,Karla C,"$279,950.00",,,Test Low,Test High,,,📁
7,,,100,Finished,1,3,,2,13808 Margaret Ponce,"1,581",$177,Pending,,Karla C,"$279,950.00","$8,000",,Test Low,Test High,,,📁
13,,,0,City,1,3,,2,13813 Margaret Ponce,"1,583",$177,Pending,,Karla T,"$279,950.00",,,Test Low,Test High,,,📁
