#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
106,A/Beige,100,Finished,1,4,,2,3841 Peak,"1,495",$184,Available,,Yoli T,"$274,950.00","$10,000",No,"$1,733","$1,790.00",80.19,126.02,📁
107,,0,City,1,4,,2,15173 Target,"1,522",$183,Available,,Ayde T,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
113,,25,City,1,3,,2,15172 Laura,"1,583",$176,Available,,Karla,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
82,,0,City,1,4,,2,15172 Destination,"1,522",$183,Available,,Ayde T,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
108,,0,City,1,3,,2,15169 Target,"1,527",$180,Available,,Carmella T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
75,,70,Texture,1,4,,3,15169 Destination,"1,450",$193,Available,,Mariel T,"$279,950.00","$5,000",No,"$1,765","$1,823.00",80.19,126.02,📁
105,,20,City,1,4,,3,15168 Laura,"1,450",$193,Available,,Mariel T,"$279,950.00",,No,"$1,765","$1,823.00",81.07,127.39,📁
81,,20,City,1,3,,2,15168 Destination,"1,527",$180,Available,,Carmella T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
109,,0,City,1,3,,2,15165 Target,"1,583",$174,Available,,Karla T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
74,,70,Sheetrock,1,3,,2,15165 Destination,"1,527",$180,Available,,Carmella T,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
104,,25,City,1,3,,2,15164 Laura,"1,527",$180,Available,,Carmella,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
80,,0,City,1,3,,2,15164 Destination,"1,583",$174,Available,,Karla T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
110,,0,City,1,4,,3,15161 Target,"1,450",$193,Available,,Mariel T,"$279,950.00",,No,"$1,765","$1,823.00",80.19,126.02,📁
73,,70,Sheetrock,1,4,,2,15161 Destination,"1,522",$181,Available,,Ayde T,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
103,,25,City,1,4,,2,15160 Laura,"1,535",$179,Available,,Ayde,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
79,,20,City,1,3,,2,15160 Destination,"1,532",$179,Available,,Arely T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,
111,,0,City,1,4,,2,15157 Target,"1,522",$181,Available,,Ayde T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
72,,70,"HVAC & Plumbing, Electrical",1,3,,2,15157 Destination,"1,583",$174,Available,,Karla T,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
102,,30,City,1,3,,2,15156 Laura,"1,583",$174,Available,,Karla,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
78,,25,City,1,4,,2,15156 Destination,"1,522",$181,Available,,Ayde T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
71,,70,"HVAC & Plumbing, Electrical",1,4,,3,15153 Destination,"1,450",$193,Available,,Mariel T,"$279,950.00","$5,000",No,"$1,765","$1,823.00",80.19,126.02,📁
101,,30,City,1,4,,3,15152 Laura,"1,450",$193,Available,,Mariel T,"$279,950.00",,No,"$1,765","$1,823.00",80.19,126.02,📁
77,,25,City,1,3,,2,15152 Destination,"1,527",$180,Available,,Carmella T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
70,,70,"HVAC & Plumbing, Electrical",1,3,,2,15149 Destination,"1,527",$180,Available,,Carmella T,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
100,,30,City,1,3,,2,15148 Laura,"1,527",$180,Available,,Carmella,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
69,,65,Framing,1,3,,2,15145 Destination,"1,522",$181,Available,,Ayde T,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
99,,30,City,1,4,,2,15144 Laura,"1,535",$179,Available,,Ayde,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
68,,65,Finals,1,3,,2,15141 Destination,"1,583",$174,Available,,Karla T,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
98,,40,City,1,3,,2,15140 Laura,"1,583",$174,Available,,Karla,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
67,,60,Framing,1,4,,3,15137 Destination,"1,450",$193,Available,,Mariel T,"$279,950.00","$5,000",No,"$1,765","$1,823.00",80.19,126.02,📁
